"lkcode" "lknum" "spp" "len" "wt"
"AHQ91" 3 "LMB" 4.4 0.03
"AHQ91" 3 "LMB" 4.4 0.03
"AHQ91" 3 "LMB" 4.4 0.05
"AHQ91" 3 "LMB" 4.5 0.03
"AHQ91" 3 "LMB" 4.5 0.04
"AHQ91" 3 "LMB" 4.5 0.04
"AHQ91" 3 "LMB" 4.5 0.05
"AHQ91" 3 "LMB" 4.5 0.05
"AHQ91" 3 "LMB" 4.5 0.06
"AHQ91" 3 "LMB" 4.6 0.03
"AHQ91" 3 "LMB" 4.6 0.05
"AHQ91" 3 "LMB" 4.7 0.03
"AHQ91" 3 "LMB" 4.7 0.03
"AHQ91" 3 "LMB" 4.7 0.03
"AHQ91" 3 "LMB" 4.7 0.03
"AHQ91" 3 "LMB" 4.7 0.04
"AHQ91" 3 "LMB" 4.7 0.05
"AHQ91" 3 "LMB" 4.8 0.03
"AHQ91" 3 "LMB" 4.8 0.04
"AHQ91" 3 "LMB" 4.8 0.04
"AHQ91" 3 "LMB" 4.8 0.05
"AHQ91" 3 "LMB" 4.9 0.04
"AHQ91" 3 "LMB" 4.9 0.05
"AHQ91" 3 "LMB" 4.9 0.06
"AHQ91" 3 "LMB" 4.9 0.06
"AHQ91" 3 "LMB" 5 0.05
"AHQ91" 3 "LMB" 5 0.06
"AHQ91" 3 "LMB" 5 0.06
"AHQ91" 3 "LMB" 5 0.06
"AHQ91" 3 "LMB" 5 0.06
"AHQ91" 3 "LMB" 5 0.09
"AHQ91" 3 "LMB" 5 0.12
"AHQ91" 3 "LMB" 5.1 0.03
"AHQ91" 3 "LMB" 5.1 0.06
"AHQ91" 3 "LMB" 5.1 0.06
"AHQ91" 3 "LMB" 5.1 0.07
"AHQ91" 3 "LMB" 5.2 0.06
"AHQ91" 3 "LMB" 5.2 0.07
"AHQ91" 3 "LMB" 5.3 0.06
"AHQ91" 3 "LMB" 5.3 0.06
"AHQ91" 3 "LMB" 5.4 0.05
"AHQ91" 3 "LMB" 5.4 0.06
"AHQ91" 3 "LMB" 5.4 0.06
"AHQ91" 3 "LMB" 5.4 0.08
"AHQ91" 3 "LMB" 5.4 0.12
"AHQ91" 3 "LMB" 5.5 0.01
"AHQ91" 3 "LMB" 5.5 0.06
"AHQ91" 3 "LMB" 5.5 0.07
"AHQ91" 3 "LMB" 5.5 0.07
"AHQ91" 3 "LMB" 5.6 0.06
"AHQ91" 3 "LMB" 5.6 0.06
"AHQ91" 3 "LMB" 5.6 0.06
"AHQ91" 3 "LMB" 5.6 0.07
"AHQ91" 3 "LMB" 5.6 0.07
"AHQ91" 3 "LMB" 5.6 0.08
"AHQ91" 3 "LMB" 5.6 0.08
"AHQ91" 3 "LMB" 5.7 0.06
"AHQ91" 3 "LMB" 5.8 0.06
"AHQ91" 3 "LMB" 5.8 0.07
"AHQ91" 3 "LMB" 5.8 0.13
"AHQ91" 3 "LMB" 5.9 0.08
"AHQ91" 3 "LMB" 5.9 0.08
"AHQ91" 3 "LMB" 5.9 0.12
"AHQ91" 3 "LMB" 6 0.09
"AHQ91" 3 "LMB" 6 0.15
"AHQ91" 3 "LMB" 6.1 0.05
"AHQ91" 3 "LMB" 6.1 0.08
"AHQ91" 3 "LMB" 6.1 0.16
"AHQ91" 3 "LMB" 6.2 0.08
"AHQ91" 3 "LMB" 6.2 0.1
"AHQ91" 3 "LMB" 6.2 0.12
"AHQ91" 3 "LMB" 6.2 0.14
"AHQ91" 3 "LMB" 6.2 0.14
"AHQ91" 3 "LMB" 6.3 0.09
"AHQ91" 3 "LMB" 6.3 0.16
"AHQ91" 3 "LMB" 6.4 0.09
"AHQ91" 3 "LMB" 6.5 0.01
"AHQ91" 3 "LMB" 6.8 0.2
"AHQ91" 3 "LMB" 6.9 0.14
"AHQ91" 3 "LMB" 7 0.13
"AHQ91" 3 "LMB" 7.1 0.14
"AHQ91" 3 "LMB" 7.2 0.15
"AHQ91" 3 "LMB" 7.4 0.17
"AHQ91" 3 "LMB" 7.4 0.18
"AHQ91" 3 "LMB" 7.4 0.21
"AHQ91" 3 "LMB" 7.4 0.22
"AHQ91" 3 "LMB" 7.5 0.21
"AHQ91" 3 "LMB" 7.6 0.18
"AHQ91" 3 "LMB" 7.6 0.19
"AHQ91" 3 "LMB" 7.6 0.2
"AHQ91" 3 "LMB" 7.6 0.21
"AHQ91" 3 "LMB" 7.6 0.22
"AHQ91" 3 "LMB" 7.7 0.2
"AHQ91" 3 "LMB" 7.7 0.22
"AHQ91" 3 "LMB" 7.8 0.18
"AHQ91" 3 "LMB" 7.8 0.23
"AHQ91" 3 "LMB" 7.8 0.24
"AHQ91" 3 "LMB" 7.9 0.18
"AHQ91" 3 "LMB" 7.9 0.2
"AHQ91" 3 "LMB" 7.9 0.24
"AHQ91" 3 "LMB" 7.9 0.26
"AHQ91" 3 "LMB" 8 0.2
"AHQ91" 3 "LMB" 8 0.22
"AHQ91" 3 "LMB" 8 0.25
"AHQ91" 3 "LMB" 8 0.34
"AHQ91" 3 "LMB" 8.1 0.2
"AHQ91" 3 "LMB" 8.1 0.23
"AHQ91" 3 "LMB" 8.1 0.24
"AHQ91" 3 "LMB" 8.2 0.22
"AHQ91" 3 "LMB" 8.2 0.22
"AHQ91" 3 "LMB" 8.2 0.26
"AHQ91" 3 "LMB" 8.2 0.26
"AHQ91" 3 "LMB" 8.3 0.16
"AHQ91" 3 "LMB" 8.3 0.27
"AHQ91" 3 "LMB" 8.3 0.31
"AHQ91" 3 "LMB" 8.4 0.17
"AHQ91" 3 "LMB" 8.4 0.21
"AHQ91" 3 "LMB" 8.4 0.24
"AHQ91" 3 "LMB" 8.4 0.24
"AHQ91" 3 "LMB" 8.4 0.25
"AHQ91" 3 "LMB" 8.4 0.25
"AHQ91" 3 "LMB" 8.4 0.26
"AHQ91" 3 "LMB" 8.4 0.28
"AHQ91" 3 "LMB" 8.4 0.29
"AHQ91" 3 "LMB" 8.4 0.29
"AHQ91" 3 "LMB" 8.5 0.09
"AHQ91" 3 "LMB" 8.5 0.24
"AHQ91" 3 "LMB" 8.5 0.27
"AHQ91" 3 "LMB" 8.6 0.25
"AHQ91" 3 "LMB" 8.6 0.25
"AHQ91" 3 "LMB" 8.6 0.27
"AHQ91" 3 "LMB" 8.6 0.28
"AHQ91" 3 "LMB" 8.6 0.29
"AHQ91" 3 "LMB" 8.6 0.3
"AHQ91" 3 "LMB" 8.7 0.27
"AHQ91" 3 "LMB" 8.7 0.28
"AHQ91" 3 "LMB" 8.7 0.33
"AHQ91" 3 "LMB" 8.7 0.34
"AHQ91" 3 "LMB" 8.8 0.24
"AHQ91" 3 "LMB" 8.8 0.26
"AHQ91" 3 "LMB" 8.8 0.28
"AHQ91" 3 "LMB" 8.8 0.3
"AHQ91" 3 "LMB" 8.9 0.21
"AHQ91" 3 "LMB" 8.9 0.27
"AHQ91" 3 "LMB" 8.9 0.29
"AHQ91" 3 "LMB" 8.9 0.31
"AHQ91" 3 "LMB" 9 0.28
"AHQ91" 3 "LMB" 9 0.29
"AHQ91" 3 "LMB" 9 0.29
"AHQ91" 3 "LMB" 9 0.36
"AHQ91" 3 "LMB" 9 0.38
"AHQ91" 3 "LMB" 9.1 0.27
"AHQ91" 3 "LMB" 9.1 0.31
"AHQ91" 3 "LMB" 9.1 0.34
"AHQ91" 3 "LMB" 9.2 0.31
"AHQ91" 3 "LMB" 9.2 0.35
"AHQ91" 3 "LMB" 9.3 0.34
"AHQ91" 3 "LMB" 9.3 0.35
"AHQ91" 3 "LMB" 9.3 0.35
"AHQ91" 3 "LMB" 9.5 0.33
"AHQ91" 3 "LMB" 9.5 0.36
"AHQ91" 3 "LMB" 9.6 0.38
"AHQ91" 3 "LMB" 9.6 0.43
"AHQ91" 3 "LMB" 9.7 0.31
"AHQ91" 3 "LMB" 9.9 0.48
"AHQ91" 3 "LMB" 9.9 0.7
"AHQ91" 3 "LMB" 10 0.39
"AHQ91" 3 "LMB" 10 0.43
"AHQ91" 3 "LMB" 10 0.48
"AHQ91" 3 "LMB" 10.1 0.42
"AHQ91" 3 "LMB" 10.1 0.49
"AHQ91" 3 "LMB" 10.1 0.5
"AHQ91" 3 "LMB" 10.2 0.44
"AHQ91" 3 "LMB" 10.3 0.49
"AHQ91" 3 "LMB" 10.4 0.44
"AHQ91" 3 "LMB" 10.4 0.45
"AHQ91" 3 "LMB" 10.4 0.46
"AHQ91" 3 "LMB" 10.4 0.52
"AHQ91" 3 "LMB" 10.4 0.53
"AHQ91" 3 "LMB" 10.4 0.59
"AHQ91" 3 "LMB" 10.5 0.47
"AHQ91" 3 "LMB" 10.5 0.47
"AHQ91" 3 "LMB" 10.5 0.48
"AHQ91" 3 "LMB" 10.5 0.48
"AHQ91" 3 "LMB" 10.5 0.51
"AHQ91" 3 "LMB" 10.5 0.52
"AHQ91" 3 "LMB" 10.5 0.53
"AHQ91" 3 "LMB" 10.5 0.53
"AHQ91" 3 "LMB" 10.5 0.56
"AHQ91" 3 "LMB" 10.5 0.81
"AHQ91" 3 "LMB" 10.6 0.52
"AHQ91" 3 "LMB" 10.6 0.56
"AHQ91" 3 "LMB" 10.6 0.59
"AHQ91" 3 "LMB" 10.6 0.6
"AHQ91" 3 "LMB" 10.7 0.51
"AHQ91" 3 "LMB" 10.7 0.53
"AHQ91" 3 "LMB" 10.7 0.53
"AHQ91" 3 "LMB" 10.7 0.6
"AHQ91" 3 "LMB" 10.7 0.61
"AHQ91" 3 "LMB" 10.8 0.54
"AHQ91" 3 "LMB" 10.8 0.57
"AHQ91" 3 "LMB" 10.8 0.59
"AHQ91" 3 "LMB" 10.9 0.58
"AHQ91" 3 "LMB" 10.9 0.59
"AHQ91" 3 "LMB" 11 0.58
"AHQ91" 3 "LMB" 11 0.58
"AHQ91" 3 "LMB" 11.1 0.5
"AHQ91" 3 "LMB" 11.1 0.54
"AHQ91" 3 "LMB" 11.1 0.59
"AHQ91" 3 "LMB" 11.1 0.6
"AHQ91" 3 "LMB" 11.1 0.62
"AHQ91" 3 "LMB" 11.2 0.54
"AHQ91" 3 "LMB" 11.2 0.71
"AHQ91" 3 "LMB" 11.3 0.45
"AHQ91" 3 "LMB" 11.3 0.65
"AHQ91" 3 "LMB" 11.3 0.68
"AHQ91" 3 "LMB" 11.3 0.75
"AHQ91" 3 "LMB" 11.3 0.75
"AHQ91" 3 "LMB" 11.4 0.6
"AHQ91" 3 "LMB" 11.4 0.66
"AHQ91" 3 "LMB" 11.4 0.69
"AHQ91" 3 "LMB" 11.4 0.76
"AHQ91" 3 "LMB" 11.5 0.73
"AHQ91" 3 "LMB" 11.6 0.68
"AHQ91" 3 "LMB" 11.6 0.75
"AHQ91" 3 "LMB" 11.7 0.62
"AHQ91" 3 "LMB" 11.7 0.66
"AHQ91" 3 "LMB" 11.7 0.68
"AHQ91" 3 "LMB" 11.7 0.72
