"lam" "tau2" "xi1" "xi2"
0.0277147125602029 0.0569373448612679 0.01 0.007410543
0.0332095865554704 0.0760589558618651 0.01 0.007410543
0.0600892550484994 0.281562596904211 0.040967145263707 0.007410543
0.00948039717691643 0.00637290568738752 0.01 0.00618112322156699
0.0102170074550433 0.00880581731104075 0.0222140465308296 0.007410543
0.0499245213272343 0.179332340126504 0.069616763631805 0.007410543
0.0422891205004376 0.128270728771914 0.073921950380148 0.007410543
0.0926660446112125 0.58611104183939 0.01 0.000388234545867854
0.0651011654412377 0.263699446096419 0.0925962068784046 0.007410543
0.0184643112060596 0.0184569403322582 0.01 0.007410543
0.0202729859598653 0.0307897126799708 0.0775120906708787 0.007410543
0.0270718678355857 0.0472644973696818 0.01 0.007410543
0.0126519043704778 0.01371122517126 0.0757994113967195 0.007410543
0.0509184594317331 0.2279111623931 0.01 0.007410543
0.0147306121169689 0.0128755928609453 0.01 0.007410543
0.0255302793184541 0.060926327579689 0.01 0.007410543
0.0035786749085975 0.000761126605988328 0.01 0.007410543
0.0113742922715002 0.012475883273286 0.0949616160374774 0.007410543
0.051358227923819 0.176523809192604 0.0646393704751178 0.007410543
0.0335433372788094 0.0832712123632287 0.01 0.007410543
0.00979448248745062 0.00698816770004943 0.01 0.007410543
0.100505586131595 0.868509735044497 0.01 0.007410543
0.0123323542666255 0.012812665481456 0.01 0.007410543
0.0641494670482141 0.347626683358139 0.01 0.007410543
0.0126796426114796 0.0110428604485358 0.01 0.007410543
0.0538673676981279 0.266138692130311 0.050431198635726 0.007410543
0.011061528257799 0.0104452180961982 0.01 0.007410543
0.0117729171305407 0.0113533771948289 0.01 0.007410543
0.0617893216685962 0.263310427645727 0.01 0.007410543
0.0471198215082516 0.182230895160768 0.01 0.007410543
0.112529535472936 0.791347420440946 0.0690950828811635 0.007410543
0.00843468495092286 0.00404002547534509 0.01 0.007410543
0.051866216239702 0.185706876956535 0.01 0.007410543
0.0130372049026428 0.00954687922684992 9.07352680373542e-05 0.007410543
0.098954409178287 0.70671346250147 0.01 0.007410543
0.0117903000630248 0.00922142468984983 0.01 0.007410543
0.0213504058269961 0.0352107199598331 0.01 0.000429378779142979
0.0315022343762619 0.0636701892180289 0.0886585093920785 0.007410543
0.00190176071094606 0.000167111031583653 0.01 0.007410543
0.0332766446733757 0.0764797849749324 0.01 0.007410543
0.0759202506041822 0.389393226672764 0.0986093871933816 0.007410543
0.0504066951302894 0.216455980954812 0.01 0.007410543
0.0598942883714185 0.321285279464698 0.0248402993249951 0.007410543
0.0508383644429373 0.191859483076649 0.01 0.007410543
0.0301775725382029 0.0700088148073731 0.01 0.007410543
0.039534728764471 0.104179669161057 0.0504641518732124 0.007410543
0.0360415456840197 0.11553383882385 0.0385081087312981 0.007410543
0.0659238323628918 0.305562532696681 0.0923917106579799 0.007410543
0.00318493654701934 0.000547380987385349 0.01 0.007410543
0.0240897566621892 0.0433220247700055 0.068929160640364 0.007410543
0.0150861943454347 0.018979708928489 0.01 0.007410543
0.0876373318305418 0.46449474621698 0.0966003389082419 0.007410543
0.0956597432021867 0.82367282013718 0.01 0.007410543
0.068819795788805 0.346936363889722 0.01 0.007410543
0.00443428655980433 0.00113549888798857 0.0348981197183291 0.007410543
0.036947438146652 0.102386018052207 0.0358395166074843 0.007410543
0.0132072690134071 0.0139155308402644 0.0626787485420204 0.007410543
0.0855566491946794 0.628529422498783 0.01 0.007410543
0.0284633198147277 0.039176650741542 0.01 0.007410543
0.0223341605293572 0.0401600046145464 0.0599414330400587 0.007410543
0.0368323862627079 0.131465201859523 0.0605880160579404 0.007410543
0.0850228883041084 0.647694715602367 0.01 0.007410543
0.00756291588602132 0.00400201676987151 0.01 0.007410543
0.0541832629378086 0.221540984532837 0.01 0.007410543
0.130876253005163 1.10433386415282 0.01 0.007410543
0.0106514758719898 0.00778974809421569 0.01 0.007410543
0.0109909939000577 0.0082491233737396 0.01 0.007410543
0.0412677289416815 0.112014874841266 0.0766556414482876 0.007410543
0.0313383423393406 0.0658464212594193 0.01 0.007410543
0.051856239681646 0.197788155316825 0.01 0.007410543
0.0868516556267338 0.451273571123829 0.01 0.007410543
0.0283530353009383 0.0551917466338679 0.01 0.007410543
0.047270704247673 0.146720047919689 0.01 0.007410543
0.0190087707260744 0.0287746107649629 0.01 0.007410543
0.0577724835428144 0.318413945618179 0.01 0.007410543
0.0567638029915015 0.196968714894702 0.069206056091355 0.007410543
0.0119904801613897 0.011363405003154 0.01 0.007410543
0.00183683870345272 0.000184610293239974 0.01 0.007410543
0.0359593651507086 0.112509787024829 0.0333012259874066 0.007410543
0.0430351481402205 0.16639491797518 0.0902958225719391 0.007410543
0.00418659957171263 0.00115439583737992 0.01 0.007410543
0.0653509007084164 0.42372229207494 0.0960283799249078 0.007410543
0.0544854616668735 0.307615984966538 0.01 0.007410543
0.0131461905211897 0.013186707350457 0.01 0.007410543
0.0116138472861859 0.0107300520383963 0.01 0.007410543
0.0348791472061238 0.0921486554556508 0.0156382265638729 0.007410543
0.0643529416585602 0.342077245582632 0.0801892426777853 0.00516848712768193
0.0947096960405984 0.628018762607968 0.01 0.007410543
0.0127161624776854 0.0108065488588687 0.01 0.007410543
0.0924253686406254 0.536329424908608 0.01 0.00105426565470944
0.0683604369944354 0.357661888602932 0.01 0.007410543
0.0205130351568188 0.0314530861500363 0.01 0.007410543
0.0739545350371362 0.564675918323023 0.01 0.007410543
0.058776284751776 0.356335643149393 0.01 0.007410543
0.0139373734587716 0.0143055531517543 0.01 0.007410543
0.0587553883095925 0.241765133944062 0.0874259415281757 0.007410543
0.0054811076574742 0.00210491420324177 0.01 0.007410543
0.0520866586337718 0.213935648417328 0.01 0.007410543
0.0210461411139916 0.0336302604373445 0.01 0.007410543
0.0354522848849113 0.102372175435543 0.01 0.007410543
0.0245766397075884 0.0376071738673972 0.01 0.007410543
0.0601502906084222 0.276034959352881 0.0308120710784059 0.007410543
0.0952368188322818 0.84003086056944 0.01 0.007410543
0.117904779488777 1.08294897166516 0.01 0.007410543
0.0107015576290264 0.00938631711092098 0.01 0.0047263116683243
0.0271053965256635 0.0492186904407843 0.093381173257545 0.007410543
0.000859368883047433 1.87243630517214e-05 0.01 0.007410543
0.0930500650827293 0.623899883169629 0.0312027531912642 0.007410543
0.0457369694852454 0.140200476129179 0.01 0.007410543
0.00388653765095007 0.000890539010701068 0.01 0.007410543
0.0730816301543226 0.443197756603152 0.01 0.007410543
0.012213052494959 0.013367959610307 0.01 0.007410543
0.0316593519589618 0.0706018964391747 0.01 0.007410543
0.0102292634558129 0.00796875742100532 0.01 0.007410543
0.0266592050230954 0.0458336049130728 0.01 0.00615992235205485
0.018281394061847 0.0240929066036334 0.01 0.00676647687526484
0.0214046363865672 0.0340765501613791 0.01 0.007410543
0.000919841509607291 2.36846160333758e-05 0.01 0.007410543
0.0285480951833313 0.078877311150911 0.01 0.007410543
5.84311347297189e-05 1.04347385543225e-05 0.033571070261763 0.007410543
0.0531739297874768 0.203531983294959 0.0895961655257841 0.007410543
0.0351227349260618 0.114896043604808 0.0626105101990869 0.007410543
0.0117691361884901 0.012352283247917 0.01 0.007410543
0.0818516665835165 0.569289100270971 0.0826690602432483 0.007410543
0.032046926963347 0.0706114131393542 0.01 0.007410543
0.0971648734754141 0.700546974247323 0.091043302906945 0.00408013237464305
0.106742220622987 0.964758905978418 0.01 0.007410543
0.0209345501738633 0.0344821328894148 0.01 0.007410543
0.0181888535038809 0.0234705434909802 0.01 0.007410543
0.109759074049261 1.0051464144384 0.01 0.007410543
0.00839638164328966 0.00848199366742837 0.01 0.00415471618498714
0.0182437065566761 0.0228880954143836 0.01 0.007410543
0.00189128642251108 0.000127456459986862 0.01 0.007410543
0.059606233715734 0.392657496108017 0.0663020644022817 0.007410543
0.00799601717985796 0.00537182834202843 0.01 0.007410543
0.0907322896374667 0.509973050756064 0.0492633965444777 0.007410543
0.0203128078617019 0.035878809707328 0.0341564506894729 0.007410543
0.0249752989340893 0.0460330415102617 0.01 0.007410543
0.00905338751475995 0.00514507895111519 0.00195791190990567 0.007410543
0.00103330685209264 3.57393927173305e-05 0.01 0.00792481632539973
0.00930614913235646 0.00603479622017908 0.01 0.007410543
0.0724209668730016 0.472290967483486 0.01 0.007410543
0.0186430939505547 0.0336487052497684 0.00964419544428723 0.007410543
0.00292765444489724 0.000526265729558076 0.01 0.007410543
0.0644251782128987 0.304269563365184 0.01 0.00363199437856731
0.0500350730303263 0.229635978359711 0.01 0.007410543
0.0517800851570424 0.186635491945319 0.0367005726591394 0.007410543
0.0163572823650522 0.019154856316673 0.01 0.007410543
0.00214648417198973 0.000262259950488248 0.01 0.007410543
0.0330384978016169 0.0869676488848151 0.0884910168999496 0.007410543
0.0309076401104689 0.0656941697023561 0.01 0.007410543
0.0555453396245793 0.268922557057557 0.01 0.007410543
0.000265888976784698 1.56252508824541e-06 0.0422239468236954 0.007410543
0.0162307278415149 0.0218087525809564 0.0533921303280292 0.007410543
0.0633665675127738 0.300835297593325 0.01 0.007410543
0.00984497097260698 0.00711518380829205 0.01 0.007410543
0.0947054454077827 0.639028270269797 0.01 0.007410543
0.0599903899485841 0.247793286278618 0.0339738616851295 0.007410543
0.0230076021616911 0.0458987811059163 0.01 0.007410543
0.0742948731132899 0.416131713881061 0.01 0.007410543
0.0558034099492223 0.222384208298589 0.0932701076004378 0.007410543
0.0779105722229677 0.459347042932163 0.01 0.007410543
0.040102966296166 0.155336886865169 0.01 0.007410543
0.00185379319148839 0.000214750256399688 0.01 0.007410543
0.0642896192221036 0.298602650980767 0.01 0.007410543
0.00979769539329316 0.00587170560853731 0.01 0.007410543
0.0427495018645347 0.144867821479492 0.01 0.00238381351275489
0.0875853380121091 0.526007299646269 0.01 0.007410543
0.09695143170534 0.826072232002303 0.01 0.007410543
0.0788702049607023 0.479051956141922 0.0997137256687131 0.007410543
0.00974963034208576 0.00752526644672674 0.0074710260109577 0.007410543
0.0852517339934408 0.650946151312077 0.01 0.007410543
0.0462475982771217 0.187225665437158 0.01 0.007410543
0.0373166586317538 0.106403122829022 0.0489072167291783 0.007410543
0.0471162589682416 0.139647658601575 0.01 0.007410543
0.0282337704420958 0.0436853799504924 0.0540070344885392 0.00218693879207887
0.0338841324539192 0.0998477783676591 0.01 0.007410543
0.0330281643858206 0.0899984549124673 0.01 0.007410543
0.0815225096349847 0.526189461933822 0.01 0.007410543
0.0337941726923143 0.116588638471572 0.01 0.007410543
0.0122815304837563 0.011357707921655 0.0626246828269963 0.007410543
0.0377469917749346 0.110747849118818 0.01 0.007410543
0.0328335482304506 0.0733162614012093 0.040112187753568 0.007410543
0.000151500692089557 4.6144988170482e-06 0.01 0.007410543
0.0227600820544904 0.0347194465934369 0.01 0.007410543
0.0132443987476828 0.0112194374922928 0.0910106510065238 0.00852203450769399
0.0320039613123892 0.115206898988116 0.01 0.007410543
0.0307450683757676 0.0520980127533991 0.0474897593640998 0.007410543
0.0936245960260957 0.733674673733973 0.01 0.007410543
0.0510476165287515 0.213359917950243 0.01 0.007410543
0.0384496867497659 0.0910675410808595 0.0162497463648877 0.007410543
0.0759215680520868 0.367171519798675 0.01 0.007410543
0.0188104830520571 0.0279938150750486 0.01 0.007410543
0.042685373671481 0.167949392778502 0.0414418449882384 0.007410543
0.027547527683502 0.0587382484837745 0.01 0.007410543
0.00390650801689923 0.00107268569668323 0.01 0.007410543
